budget_ratio,layer,mode,selected_tokens,selected_ratio,candidate_mass,gold_topk_recall,oracle_out_mse,oracle_out_cosine,selective_recompute_mse,selective_recompute_cosine
0.3,4,recent_token,154.0,0.30078125,0.039061234798282385,0.041075706481933594,0.007897312520071864,0.2516743987798691,0.006278782442677766,0.7430922240018845
0.3,4,sender_attn_block,160.0,0.3125,0.7041334956884384,0.7321891784667969,0.0012524219055194408,0.9598084017634392,0.001252421978279017,0.959808386862278
0.3,4,sender_k_norm,125.933837890625,0.24596452713012695,0.2220318764448166,0.274566650390625,0.012175382697023451,0.6236357688903809,0.01153091888409108,0.7404337897896767
0.3,4,sender_k_norm_block,160.0,0.3125,0.47273578494787216,0.5003242492675781,0.0030019672121852636,0.8714321777224541,0.0032144207798410207,0.9048396423459053
0.3,4,sender_kxreceived,118.53857421875,0.2315206527709961,0.42425620555877686,0.5745773315429688,0.005413368286099285,0.768435001373291,0.00467772240517661,0.8863755837082863
0.3,4,sender_kxreceived_block,160.0,0.3125,0.7565772533416748,0.7716178894042969,0.0007096990084392019,0.958215206861496,0.0007096990084392019,0.958215206861496
0.3,4,sender_received,117.466796875,0.22942733764648438,0.42621150612831116,0.5713272094726562,0.0053590573952533305,0.7704460620880127,0.004619429411832243,0.8884372636675835
0.3,4,sender_received_block,160.0,0.3125,0.7565772533416748,0.7716178894042969,0.0007096990084392019,0.958215206861496,0.0007096990084392019,0.958215206861496
0.3,4,uniform_block,160.0,0.3125,0.5711114481091499,0.6378288269042969,0.0011346491519361734,0.9301672950387001,0.0011346491373842582,0.9301672950387001
0.3,8,random_block,160.0,0.3125,0.3132033869624138,0.31281089782714844,0.00963119335938245,0.736814334988594,0.010186953702941537,0.7799622043967247
0.3,8,random_token,154.0,0.30078125,0.30109013617038727,0.3004941940307617,0.008832997526042163,0.830416664481163,0.008907323703169823,0.8302648216485977
0.3,8,recent_block,160.0,0.3125,0.055549407843500376,0.0861043930053711,0.01608665334060788,0.2391607090830803,0.015535864629782736,0.6066514030098915
0.3,8,recent_token,154.0,0.30078125,0.049577025696635246,0.07683372497558594,0.01603670115582645,0.2291788812726736,0.015415933914482594,0.604680523276329
0.3,8,sender_attn_block,160.0,0.3125,0.731582373380661,0.6889095306396484,0.0026255181874148548,0.9132139459252357,0.002625518129207194,0.9132139384746552
0.3,8,sender_k_norm,131.935791015625,0.2576870918273926,0.2559932470321655,0.3531341552734375,0.012615850078873336,0.6786882877349854,0.01193147141020745,0.7749980986118317
0.3,8,sender_k_norm_block,160.0,0.3125,0.5780579000711441,0.5296382904052734,0.006548295961692929,0.8559880629181862,0.006800494680646807,0.8579407334327698
0.3,8,sender_kxreceived,124.11181640625,0.24240589141845703,0.37161821126937866,0.46535491943359375,0.010231997002847493,0.7138881683349609,0.009488751529715955,0.8101789280772209
0.3,8,sender_kxreceived_block,160.0,0.3125,0.7018844559788704,0.5906352996826172,0.0036036777310073376,0.865653395652771,0.0036036777310073376,0.865653395652771
0.3,8,sender_received,122.611328125,0.23947525024414062,0.3700253963470459,0.45516204833984375,0.010319767752662301,0.7109507322311401,0.009576522978022695,0.8072414547204971
0.3,8,sender_received_block,160.0,0.3125,0.7018844559788704,0.5906352996826172,0.0036036777310073376,0.865653395652771,0.0036036777310073376,0.865653395652771
0.3,8,uniform_block,160.0,0.3125,0.6023236960172653,0.5974845886230469,0.00290713895810768,0.8960155993700027,0.00290713895810768,0.8960156142711639
0.3,12,random_block,160.0,0.3125,0.31353167444467545,0.31345558166503906,0.00898113870061934,0.7399783879518509,0.009298325632698834,0.7833470106124878
0.3,12,random_token,154.0,0.30078125,0.3016284927725792,0.30092334747314453,0.010622160509228706,0.796645499765873,0.010712039656937122,0.7953390032052994
0.3,12,recent_block,160.0,0.3125,0.04359660763293505,0.06067180633544922,0.014360677334479988,0.24375725910067558,0.012846319703385234,0.6172863990068436
0.3,12,recent_token,154.0,0.30078125,0.04019579803571105,0.05727672576904297,0.014375765109434724,0.23475337587296963,0.012816595495678484,0.6155915558338165
0.3,12,sender_attn_block,160.0,0.3125,0.7334001585841179,0.7153129577636719,0.0024912204826250672,0.9242130890488625,0.0024912204535212368,0.9242130890488625
0.3,12,sender_k_norm,131.507080078125,0.2568497657775879,0.19547337293624878,0.2888336181640625,0.015820601023733616,0.6324384212493896,0.015181381371803582,0.7276057675480843
0.3,12,sender_k_norm_block,160.0,0.3125,0.4733337163925171,0.4515037536621094,0.0064480434521101415,0.7972738370299339,0.006564393464941531,0.8205152302980423
0.3,12,sender_kxreceived,135.68701171875,0.2650136947631836,0.35668009519577026,0.522796630859375,0.012112294556573033,0.6939957141876221,0.011351260240189731,0.7870011329650879
0.3,12,sender_kxreceived_block,160.0,0.3125,0.7535407841205597,0.6581153869628906,0.002976633404614404,0.8917049467563629,0.002976633404614404,0.8917049467563629
0.3,12,sender_received,133.7578125,0.2612457275390625,0.356550931930542,0.5252456665039062,0.012149566086009145,0.6919029951095581,0.011388531886041164,0.7849083840847015
0.3,12,sender_received_block,160.0,0.3125,0.7535407841205597,0.6581153869628906,0.002976633404614404,0.8917049467563629,0.002976633404614404,0.8917049467563629
0.3,12,uniform_block,160.0,0.3125,0.6458644643425941,0.6579427719116211,0.0018474786484148353,0.9185336902737617,0.0018474785756552592,0.9185336753726006
0.3,15,random_block,160.0,0.3125,0.3126477710902691,0.3126859664916992,0.030583316460251808,0.7829275280237198,0.030885952524840832,0.8401144742965698
0.3,15,random_token,154.0,0.30078125,0.3018157258629799,0.30089759826660156,0.03457394801080227,0.8537618443369865,0.03476931806653738,0.8537473604083061
0.3,15,recent_block,160.0,0.3125,0.04354960937052965,0.06549549102783203,0.046557625755667686,0.24711833521723747,0.03811887837946415,0.6752048656344414
0.3,15,recent_token,154.0,0.30078125,0.03959136037155986,0.05878925323486328,0.04649177519604564,0.23751023784279823,0.037795915734022856,0.6740484982728958
0.3,15,sender_attn_block,160.0,0.3125,0.7012121081352234,0.6644287109375,0.00857627100776881,0.9317536428570747,0.008576271589845419,0.9317536428570747
0.3,15,sender_k_norm,133.007568359375,0.2597804069519043,0.214873805642128,0.27007293701171875,0.05417338386178017,0.6830179691314697,0.05082051642239094,0.785570777952671
0.3,15,sender_k_norm_block,160.0,0.3125,0.5050794929265976,0.43709564208984375,0.015847865724936128,0.8335994631052017,0.01601352938450873,0.859244592487812
